time_ms,value,temperature_C
1091211,258,25.00
1091355,259,25.00
1091499,259,25.00
1091644,259,25.00
1091788,259,25.00
1091932,259,25.00
1092077,259,25.00
1092221,259,25.00
1092365,259,25.00
1092510,258,25.00
1092654,258,25.00
1092798,259,25.00
1092943,259,25.00
1093087,260,25.00
1093231,258,25.00
1093376,259,25.00
1093518,259,25.00
1093662,259,25.00
1093807,259,25.00
1093953,259,25.00
1094097,259,25.00
1094242,259,25.00
1094386,258,25.00
1094530,259,25.00
1094675,259,25.00
1094819,259,25.00
1094963,258,25.00
1095108,258,25.00
1095252,259,25.00
1095396,259,25.00
1095541,258,25.00
1095685,259,25.00
1095829,259,25.00
1095974,259,25.00
1096118,259,25.00
1096263,258,25.00
1096407,258,25.00
1096551,259,25.00
1096696,259,25.00
1096840,259,25.00
1096984,259,25.00
1097128,258,25.00
1097276,258,25.00
1097420,259,25.00
1097564,259,25.00
1097709,258,25.00
1097853,259,25.00
1098000,258,25.00
1098144,259,25.00
1098289,259,25.00
1098433,259,25.00
1098578,258,25.00
1098722,258,25.00
1098867,259,25.00
1099011,259,25.00
1099156,258,25.00
1099300,259,25.00
1099444,258,25.00
1099589,258,25.00
1099733,259,25.00
1099878,258,25.00
1100022,259,25.00
1100167,258,25.00
1100311,259,25.00
1100456,259,25.00
1100600,259,25.00
1100745,259,25.00
1100889,259,25.00
1101034,259,25.00
1101181,259,25.00
1101325,259,25.00
1101470,259,25.00
1101614,259,25.00
1101758,259,25.00
1101905,259,25.00
1102049,258,25.00
1102194,259,25.00
1102338,259,25.00
1102483,259,25.00
1102627,259,25.00
1102772,259,25.00
1102916,260,25.00
1103061,258,25.00
1103205,258,25.00
1103350,259,25.00
1103494,259,25.00
1103638,259,25.00
1103783,259,25.00
1103927,259,25.00
1104072,259,25.00
1104216,259,25.00
1104361,259,25.00
1104505,259,25.00
1104650,259,25.00
1104794,260,25.00
1104939,259,25.00
1105086,258,25.00
1105230,259,25.00
1105375,259,25.00
1105519,259,25.00
1105664,259,25.00
1105808,258,25.00
1105954,259,25.00
1106099,259,25.00
1106243,259,25.00
1106388,259,25.00
1106532,258,25.00
1106676,259,25.00
1106821,259,25.00
1106965,258,25.00
1107110,258,25.00
1107254,259,25.00
1107399,258,25.00
1107543,259,25.00
1107688,259,25.00
1107832,258,25.00
1107977,260,25.00
1108121,259,25.00
1108266,259,25.00
1108410,258,25.00
1108554,258,25.00
1108699,259,25.00
1108843,259,25.00
1108990,259,25.00
1109135,259,25.00
1109279,259,25.00
1109424,260,25.00
1109568,259,25.00
1109713,259,25.00
1109859,259,25.00
1110004,260,25.00
1110148,259,25.00
1110292,259,25.00
1110437,259,25.00
1110581,258,25.00
1110726,258,25.00
1110870,258,25.00
1111015,259,25.00
1111159,259,25.00
1111304,258,25.00
1111448,259,25.00
1111593,258,25.00
1111737,259,25.00
1111881,259,25.00
1112026,259,25.00
1112170,259,25.00
1112315,258,25.00
1112459,259,25.00
1112604,259,25.00
1112748,260,25.00
1112895,260,25.00
1113040,258,25.00
1113184,258,25.00
1113329,258,25.00
1113473,259,25.00
1113618,258,25.00
1113762,259,25.00
1113908,258,25.00
1114053,259,25.00
1114197,259,25.00
1114342,259,25.00
1114486,259,25.00
1114631,260,25.00
1114775,259,25.00
